RowID,Country/Region,ID,"Wednesday, 22 January 2020","Thursday, 23 January 2020","Friday, 24 January 2020","Saturday, 25 January 2020","Sunday, 26 January 2020","Monday, 27 January 2020","Tuesday, 28 January 2020","Wednesday, 29 January 2020","Thursday, 30 January 2020","Friday, 31 January 2020","Saturday, 1 February 2020","Sunday, 2 February 2020","Monday, 3 February 2020","Tuesday, 4 February 2020","Wednesday, 5 February 2020","Thursday, 6 February 2020","Friday, 7 February 2020","Saturday, 8 February 2020","Sunday, 9 February 2020","Monday, 10 February 2020","Tuesday, 11 February 2020","Wednesday, 12 February 2020","Thursday, 13 February 2020","Friday, 14 February 2020","Saturday, 15 February 2020","Sunday, 16 February 2020","Monday, 17 February 2020","Tuesday, 18 February 2020","Wednesday, 19 February 2020","Thursday, 20 February 2020","Friday, 21 February 2020","Saturday, 22 February 2020","Sunday, 23 February 2020","Monday, 24 February 2020","Tuesday, 25 February 2020","Wednesday, 26 February 2020","Thursday, 27 February 2020","Friday, 28 February 2020","Saturday, 29 February 2020","Sunday, 1 March 2020","Monday, 2 March 2020","Tuesday, 3 March 2020","Wednesday, 4 March 2020","Thursday, 5 March 2020","Friday, 6 March 2020","Saturday, 7 March 2020","Sunday, 8 March 2020","Monday, 9 March 2020","Tuesday, 10 March 2020","Wednesday, 11 March 2020","Thursday, 12 March 2020","Friday, 13 March 2020","Saturday, 14 March 2020","Sunday, 15 March 2020","Monday, 16 March 2020","Tuesday, 17 March 2020"
43,San Marino,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,10,16,21,21,23,36,36,51,62,69,80,80,101,109,109
44,Belarus,BY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,6,9,9,12,27,27,27,36,36
45,Iceland,IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,11,26,34,43,50,50,58,69,85,103,134,156,171,180,220
46,Lithuania,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,12,17,25
47,Mexico,MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,12,26,41,53,82
48,New Zealand,NZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,6,8,8,12
49,Nigeria,NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3
50,Australia,AU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,6,9,9,14,17,17,28,31
51,Ireland,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129,169,223
52,Luxembourg,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,5,7,19,34,51,59,77,140
53,Monaco,MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,7,7
54,Qatar,QA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,8,8,8,8,15,18,24,262,262,320,337,401,439,439
